Cognoms de la població. 2023
Catalunya
Font: Idescat, a partir del Cens de població i habitatges anual de l'INE.
Nota: ‰ calculat sobre el total de la població.
Nota: Només es mostren els cognoms de freqüència igual o superior a 4.
.. Dada confidencial, amb baixa fiabilitat o no disponible
Institut d'Estadística de Catalunya
http://www.idescat.cat/cognoms/
Pos.;Cognom;Com a primer cognom. Freqüència;Com a primer cognom. ‰;Com a segon cognom. Freqüència;Com a segon cognom. ‰
36467;A;11;0,00;8;0,00
49517;AABACH;6;0,00;6;0,00
70986;AABACHRIM;5;0,00;..;..
39378;AABAD;15;0,00;..;..
89030;AABAID;5;0,00;..;..
37857;AABAJLA;11;0,00;7;0,00
64882;AABALA;5;0,00;..;..
78738;AABASI;5;0,00;..;..
33101;AABASLAMA;17;0,00;5;0,00
49517;AABBADA;7;0,00;5;0,00
89030;AABBOU;5;0,00;..;..
103641;AABDALAOUI;4;0,00;..;..
44694;AABDELAOUI;9;0,00;5;0,00
78738;AABDOU;6;0,00;..;..
35255;AABI;13;0,00;7;0,00
44694;AABICH;12;0,00;..;..
27578;AABID;19;0,00;10;0,00
30501;AABIDA;20;0,00;5;0,00
103641;AABIDI;4;0,00;..;..
52458;AABKARI;6;0,00;5;0,00
55921;AABOU;10;0,00;..;..
59859;AABOUBOU;4;0,00;5;0,00
42740;AABOUCH;14;0,00;..;..
30501;AABOUD;21;0,00;4;0,00
78738;AABOUDEN;5;0,00;..;..
89030;AABOUN;4;0,00;..;..
70986;AACH CHOUBA;7;0,00;..;..
89030;AACHIK;4;0,00;..;..
70986;AACHOUR;..;..;5;0,00
52458;AACHRAK;11;0,00;..;..
103641;AACHRAOUAT;4;0,00;..;..
89030;AADADOUCH;5;0,00;..;..
89030;AADDACH;5;0,00;..;..
28965;AADDAM;24;0,00;..;..
78738;AADDAME;6;0,00;..;..
40935;AADDI;14;0,00;..;..
52458;AADDOUZ;11;0,00;..;..
78738;AADI;..;..;6;0,00
103641;AADIDDOU;4;0,00;..;..
55921;AADIL;7;0,00;..;..
21501;AADMI;38;0,00;4;0,00
46970;AADOU;11;0,00;..;..
59859;AADOUCH;9;0,00;..;..
70986;AADOUZ;7;0,00;..;..
70986;AADSI;7;0,00;..;..
59859;AAFAR;9;0,00;..;..
52458;AAFER;11;0,00;..;..
52458;AAFFAN;5;0,00;6;0,00
28965;AAFIF;18;0,00;9;0,00
49517;AAFIFI;6;0,00;6;0,00
89030;AAFJES;5;0,00;..;..
89030;AAFUOALLAH;5;0,00;..;..
103641;AAGAARD;4;0,00;..;..
64882;AAGUILI;..;..;6;0,00
22565;AAIDOUN;35;0,00;4;0,00
27578;AAIROUT;18;0,00;11;0,00
89030;AAISSI;5;0,00;..;..
46970;AAJAL;4;0,00;9;0,00
64882;AAJIB;8;0,00;..;..
64882;AAJIR;8;0,00;..;..
31309;AAJNAH;20;0,00;4;0,00
89030;AAJOU;5;0,00;..;..
52458;AAJOUR;6;0,00;5;0,00
70986;AAKCHA;4;0,00;..;..
103641;AAKCHATEN;4;0,00;..;..
70986;AAKEL;4;0,00;..;..
78738;AAKI;5;0,00;..;..
26969;AAKID;19;0,00;11;0,00
64882;AAKIL;7;0,00;..;..
20834;AAKKI;30;0,00;14;0,00
64882;AAKLA;..;..;5;0,00
103641;AAKROUT;4;0,00;..;..
89030;AAL LALI;5;0,00;..;..
78738;AALA;4;0,00;..;..
103641;AALAM;4;0,00;..;..
78738;AALAOUEL;4;0,00;..;..
64882;AALAOUI;8;0,00;..;..
31309;AALI;22;0,00;..;..
89030;AALIEN;4;0,00;..;..
103641;AALILECH;4;0,00;..;..
30501;AALILI;14;0,00;11;0,00
89030;AALILIT;5;0,00;..;..
40935;AALILOU;15;0,00;..;..
78738;AALIOUAT;6;0,00;..;..
78738;AALIOUI;6;0,00;..;..
36467;AALLA;15;0,00;4;0,00
78738;AALLAL;..;..;4;0,00
27578;AALLALI;24;0,00;5;0,00
78738;AALLALOU;6;0,00;..;..
44694;AALLAM;13;0,00;..;..
35255;AALLAOUI;14;0,00;6;0,00
70986;AALLITOU;4;0,00;..;..
59859;AALOLI;8;0,00;..;..
39378;AALOU;7;0,00;10;0,00
89030;AALOUI;5;0,00;..;..
55921;AALOUL;9;0,00;..;..
70986;AALTO;7;0,00;..;..
59859;AAMAR;7;0,00;..;..
55921;AAMARA;6;0,00;4;0,00
23868;AAMAROUCH;34;0,00;..;..
70986;AAMAROUSS;7;0,00;..;..
89030;AAMENA;..;..;5;0,00
33101;AAMER;18;0,00;4;0,00
42740;AAMI;15;0,00;..;..
26335;AAMIMI;27;0,00;4;0,00
18371;AAMIR;52;0,00;..;..
31309;AAMIYAR;15;0,00;9;0,00
34146;AAMMOURI;17;0,00;4;0,00
70986;AAMMY;7;0,00;..;..
70986;AAMOURI;7;0,00;..;..
55921;AAMRAN;7;0,00;..;..
35255;AAMRANI;20;0,00;..;..
46970;AAMRAOUI;9;0,00;4;0,00
44694;AAMRI;9;0,00;5;0,00
89030;AAMRY;5;0,00;..;..
42740;AANAN;10;0,00;5;0,00
89030;AANANA;..;..;4;0,00
49517;AANANE;4;0,00;8;0,00
70986;AANANOU;..;..;5;0,00
52458;AANANOUCH;8;0,00;..;..
103641;AANDERUD;4;0,00;..;..
46970;AANEI;13;0,00;..;..
44694;AANFOUD;10;0,00;4;0,00
49517;AANFUF;11;0,00;..;..
103641;AANI;4;0,00;..;..
44694;AANIBA;11;0,00;..;..
78738;AANKAD;6;0,00;..;..
78738;AANKICH;6;0,00;..;..
89030;AANKIZ;5;0,00;..;..
89030;AANKOUR;..;..;4;0,00
52458;AANOUB;4;0,00;7;0,00
70986;AANOUN;5;0,00;..;..
23868;AANOUZ;29;0,00;7;0,00
55921;AANTAR;6;0,00;4;0,00
37857;AANZI;17;0,00;..;..
64882;AANZOUL;..;..;5;0,00
46970;AAOUAD;8;0,00;5;0,00
59859;AAOUAT;9;0,00;..;..
78738;AAOUBAY;6;0,00;..;..
78738;AAOUIDAT;6;0,00;..;..
103641;AAOUINI;4;0,00;..;..
103641;AAQUI;4;0,00;..;..
2998;AARAB;413;0,05;164;0,02
52458;AARAB RIFI;5;0,00;6;0,00
78738;AARABE;6;0,00;..;..
42740;AARABI;10;0,00;5;0,00
55921;AARABOU;7;0,00;..;..
89030;AARAJ;5;0,00;..;..
27578;AARASS;17;0,00;12;0,00
70986;AARBAJI;7;0,00;..;..
55921;AARBAOUI;5;0,00;5;0,00
42740;AARBOUT;8;0,00;7;0,00
40935;AAREYI;10;0,00;6;0,00
70986;AARIARA;4;0,00;..;..
40935;AARIBA;8;0,00;8;0,00
46970;AARIBOU;12;0,00;..;..
64882;AARICH;4;0,00;4;0,00
52458;AARIEB;7;0,00;4;0,00
59859;AARIF;7;0,00;..;..
103641;AARIOUCHE;4;0,00;..;..
64882;AARKOUB;4;0,00;4;0,00
42740;AARKOUBI;9;0,00;6;0,00
103641;AAROUAL;4;0,00;..;..
70986;AAROUCH;7;0,00;..;..
37857;AAROUD;12;0,00;6;0,00
35255;AAROUS;13;0,00;7;0,00
42740;AAROUSS;12;0,00;..;..
64882;AAROUSSI;5;0,00;..;..
42740;AARRAR;13;0,00;..;..
19107;AARRAS;32;0,00;18;0,00
17129;AARRASS;44;0,00;15;0,00
31309;AARRASSI;17;0,00;7;0,00
42740;AASBAI;12;0,00;..;..
78738;AASFOUR;4;0,00;..;..
89030;AASIFAR;5;0,00;..;..
89030;AASIM;..;..;4;0,00
89030;AASKARI;5;0,00;..;..
103641;AASRAOUI;4;0,00;..;..
31309;AASRI;10;0,00;14;0,00
70986;AASSARI;7;0,00;..;..
64882;AASSOU;7;0,00;..;..
49517;AASSOUM;9;0,00;..;..
49517;AATANI;10;0,00;..;..
49517;AATAOUA;9;0,00;..;..
37857;AATAR;13;0,00;5;0,00
59859;AATEK;9;0,00;..;..
49517;AATER;10;0,00;..;..
52458;AATIAOUI;11;0,00;..;..
44694;AATIF;11;0,00;..;..
103641;AATIFI;..;..;4;0,00
49517;AATOU;8;0,00;4;0,00
70986;AATOUR;5;0,00;..;..
64882;AATRACH;4;0,00;4;0,00
20834;AATTAR;32;0,00;12;0,00
59859;AAWIL;9;0,00;..;..
103641;AAYAN;4;0,00;..;..
39378;AAYDOUN;12;0,00;5;0,00
55921;AAYLLAL;6;0,00;4;0,00
70986;AAYOUNI;4;0,00;..;..
78738;AAYOUYOU;6;0,00;..;..
103641;AAZAIR;..;..;4;0,00
28965;AAZANE;20;0,00;7;0,00
33101;AAZIBOU;13;0,00;9;0,00
36467;AAZIZ;18;0,00;..;..
64882;AAZOUZ;8;0,00;..;..
28965;AAZOUZI;19;0,00;8;0,00
103641;AAZZANE;4;0,00;..;..
37857;AAZZOUZI;12;0,00;6;0,00
52458;ABA;5;0,00;6;0,00
26969;ABAADOUD;22;0,00;8;0,00
78738;ABAALI;5;0,00;..;..
89030;ABAAMRANE;4;0,00;..;..
103641;ABAATOUSSE;4;0,00;..;..
59859;ABABEI;9;0,00;..;..
42740;ABABII;10;0,00;5;0,00
46970;ABABIO;11;0,00;..;..
33101;ABABOU;15;0,00;7;0,00
35255;ABABRI;13;0,00;7;0,00
49517;ABACA;11;0,00;..;..
89030;ABACAY;..;..;4;0,00
55921;ABACH;10;0,00;..;..
33101;ABACHANE;18;0,00;4;0,00
16352;ABACHRI;39;0,00;24;0,00
59859;ABACHRIM;6;0,00;..;..
89030;ABACI;5;0,00;..;..
229;ABAD;3.866;0,49;3.828;0,48
49517;ABADA;8;0,00;4;0,00
3011;ABADAL;291;0,04;283;0,04
64882;ABADDAR;7;0,00;..;..
27578;ABADES;13;0,00;16;0,00
23413;ABADI;27;0,00;10;0,00
1996;ABADIA;458;0,06;453;0,06
42740;ABADIA DE BARBARA;8;0,00;7;0,00
78738;ABADIANA;6;0,00;..;..
9364;ABADIANO;77;0,00;61;0,00
2779;ABADIAS;357;0,05;272;0,03
15210;ABADIE;35;0,00;35;0,00
11211;ABADIN;66;0,00;42;0,00
55921;ABADLI;10;0,00;..;..
49517;ABADOU;..;..;9;0,00
103641;ABADZIC;4;0,00;..;..
89030;ABAEV;4;0,00;..;..
46970;ABAEVA;10;0,00;..;..
55921;ABAG;6;0,00;4;0,00
27578;ABAGA;16;0,00;13;0,00
29721;ABAGHAD;21;0,00;5;0,00
55921;ABAGHLIE;8;0,00;..;..
52458;ABAGHRIR;4;0,00;7;0,00
89030;ABAGIU;4;0,00;..;..
28254;ABAGRI;8;0,00;20;0,00
64882;ABAGUI;7;0,00;..;..
78738;ABAGYAN;6;0,00;..;..
46970;ABAHAY;5;0,00;8;0,00
78738;ABAHLOU;6;0,00;..;..
49517;ABAHRI;10;0,00;..;..
52458;ABAICH;5;0,00;6;0,00
89030;ABAID;5;0,00;..;..
28254;ABAIDA;21;0,00;7;0,00
22978;ABAIGAR;26;0,00;12;0,00
25303;ABAIJON;20;0,00;13;0,00
44694;ABAILA;11;0,00;..;..
28965;ABAIR;16;0,00;11;0,00
52458;ABAIZ;11;0,00;..;..
44694;ABAJAS;6;0,00;8;0,00
89030;ABAJJIOU;5;0,00;..;..
70986;ABAJLA;7;0,00;..;..
4701;ABAJO;190;0,02;147;0,02
64882;ABAJTIT;4;0,00;4;0,00
28254;ABAJTOUR;13;0,00;15;0,00
78738;ABAJYAN;6;0,00;..;..
78738;ABAKHA;6;0,00;..;..
64882;ABAKHTI;5;0,00;..;..
46970;ABAKKALI;12;0,00;..;..
59859;ABAKKOUY;7;0,00;..;..
20834;ABAKOUY;28;0,00;16;0,00
103641;ABAKUY;4;0,00;..;..
8373;ABAL;90;0,01;70;0,00
78738;ABALAGH;4;0,00;..;..
89030;ABALAHSAYEN;4;0,00;..;..
89030;ABALASEI;5;0,00;..;..
24320;ABALDE;12;0,00;23;0,00
70986;ABALHI;..;..;4;0,00
103641;ABALHOUSSAIEN;4;0,00;..;..
59859;ABALI;7;0,00;..;..
89030;ABALIA;..;..;4;0,00
89030;ABALLAGH;4;0,00;..;..
55921;ABALLANET;8;0,00;..;..
28254;ABALLAY;14;0,00;14;0,00
89030;ABALLE;..;..;4;0,00
29721;ABALLI;13;0,00;13;0,00
55921;ABALLO;5;0,00;5;0,00
14132;ABALO;32;0,00;46;0,00
3531;ABALOS;223;0,03;250;0,03
13667;ABAN;36;0,00;46;0,00
9364;ABANADES;70;0,00;68;0,00
27578;ABANADOR;21;0,00;8;0,00
46970;ABANCENS;10;0,00;..;..
11535;ABANCO;46;0,00;58;0,00
64882;ABANDO;6;0,00;..;..
59859;ABANG;..;..;8;0,00
64882;ABANIA;..;..;6;0,00
40935;ABANILLA;6;0,00;10;0,00
103641;ABANKWA;4;0,00;..;..
89030;ABANNA;..;..;4;0,00
49517;ABANSES;5;0,00;7;0,00
89030;ABANT;4;0,00;..;..
17714;ABANTE;35;0,00;21;0,00
5989;ABANTO;120;0,02;128;0,02
39378;ABAOU;16;0,00;..;..
52458;ABAOUI;11;0,00;..;..
49517;ABAR;4;0,00;8;0,00
25852;ABARA;22;0,00;10;0,00
78738;ABARAGHOIN;4;0,00;..;..
89030;ABARANI;5;0,00;..;..
70986;ABARAOU;6;0,00;..;..
1893;ABARCA;503;0,06;462;0,06
52458;ABARCACH;9;0,00;..;..
59859;ABARCAR;..;..;6;0,00
42740;ABARCAS;7;0,00;8;0,00
103641;ABARCHAN;4;0,00;..;..
70986;ABARDA;5;0,00;..;..
89030;ABARDAJ;5;0,00;..;..
15873;ABARDIA;38;0,00;28;0,00
55921;ABARDIAI;10;0,00;..;..
78738;ABARGHAZ;4;0,00;..;..
46970;ABARGHAZE;6;0,00;7;0,00
29721;ABARGUES;8;0,00;18;0,00
103641;ABARHOUCHAY;4;0,00;..;..
33101;ABARHOUN;18;0,00;4;0,00
89030;ABARI;5;0,00;..;..
55921;ABARIN;8;0,00;..;..
29721;ABARKACH;16;0,00;10;0,00
7627;ABARKAN;130;0,02;51;0,00
14916;ABARKANE;60;0,00;12;0,00
78738;ABARNO;4;0,00;..;..
59859;ABARNOUS;9;0,00;..;..
64882;ABAROA;..;..;5;0,00
59859;ABAROU;8;0,00;..;..
39378;ABAROUDI;14;0,00;..;..
52458;ABARQUERO;5;0,00;6;0,00
70986;ABARQUEZ;5;0,00;..;..
89030;ABARRA;4;0,00;..;..
78738;ABARRAH;6;0,00;..;..
70986;ABARRAN;6;0,00;..;..
33101;ABARRATEGUI;11;0,00;11;0,00
25303;ABARRI;26;0,00;7;0,00
78738;ABARRICHE;..;..;5;0,00
64882;ABARZUA;..;..;5;0,00
78738;ABARZUZA;5;0,00;..;..
12323;ABAS;43;0,00;52;0,00
4359;ABASCAL;184;0,02;184;0,02
64882;ABASHIDZE;4;0,00;4;0,00
78738;ABASHVILI;6;0,00;..;..
70986;ABASI;..;..;5;0,00
8780;ABASOLO;92;0,01;58;0,00
33101;ABASS;17;0,00;5;0,00
28254;ABASSI;22;0,00;6;0,00
89030;ABASSMICHEAL;5;0,00;..;..
64882;ABASSO;6;0,00;..;..
78738;ABASTILLAS;..;..;6;0,00
19364;ABASTO;24;0,00;25;0,00
10070;ABAT;60;0,00;65;0,00
46970;ABATA;7;0,00;6;0,00
20834;ABATE;33;0,00;11;0,00
64882;ABATEDAGA;5;0,00;..;..
20238;ABATI;34;0,00;12;0,00
89030;ABATOUI;5;0,00;..;..
78738;ABATOUY;4;0,00;..;..
46970;ABATTOUY;9;0,00;4;0,00
78738;ABAU;6;0,00;..;..
52458;ABAUNZ;6;0,00;5;0,00
28254;ABAUNZA;16;0,00;12;0,00
14516;ABAURREA;46;0,00;29;0,00
19958;ABAYA;27;0,00;20;0,00
40935;ABAYACHOU;6;0,00;10;0,00
46970;ABAZA;10;0,00;..;..
103641;ABAZADZE;4;0,00;..;..
64882;ABAZI;8;0,00;..;..
64882;ABAZID;5;0,00;..;..
89030;ABAZINE;..;..;4;0,00
22565;ABAZOLO;17;0,00;22;0,00
31309;ABBA;13;0,00;11;0,00
17714;ABBAD;27;0,00;29;0,00
17510;ABBADI;38;0,00;19;0,00
19107;ABBAOUI;26;0,00;24;0,00
52458;ABBAR;8;0,00;..;..
89030;ABBARA;5;0,00;..;..
103641;ABBARI;4;0,00;..;..
1579;ABBAS;1.081;0,14;96;0,01
12131;ABBASI;70;0,00;27;0,00
78738;ABBASOV;6;0,00;..;..
103641;ABBASOVA;4;0,00;..;..
78738;ABBASS;6;0,00;..;..
36467;ABBASSA;14;0,00;5;0,00
6450;ABBASSI;160;0,02;66;0,00
70986;ABBASY;5;0,00;..;..
24817;ABBATE;32;0,00;..;..
103641;ABBATTISTA;4;0,00;..;..
78738;ABBAZ;6;0,00;..;..
42740;ABBES;10;0,00;5;0,00
89030;ABBIH;5;0,00;..;..
59859;ABBONA;9;0,00;..;..
103641;ABBONDANTE;4;0,00;..;..
49517;ABBOTT;10;0,00;..;..
3866;ABBOU;313;0,04;113;0,01
78738;ABBOUBI;5;0,00;..;..
21155;ABBOUD;31;0,00;12;0,00
37857;ABBOUDI;11;0,00;7;0,00
26969;ABBOUTI;22;0,00;8;0,00
78738;ABBOUZ;4;0,00;..;..
52458;ABBOUZI;8;0,00;..;..
89030;ABCADA;5;0,00;..;..
52458;ABCHIR;9;0,00;..;..
59859;ABCHRI;..;..;6;0,00
103641;ABCHRIM;4;0,00;..;..
78738;ABD;..;..;4;0,00
103641;ABD ALNOUR;4;0,00;..;..
89030;ABD ELSHAHID;5;0,00;..;..
78738;ABDA;4;0,00;..;..
103641;ABDADAIM;4;0,00;..;..
89030;ABDAIN;..;..;4;0,00
14516;ABDALA;46;0,00;29;0,00
89030;ABDALAH;..;..;4;0,00
70986;ABDALAHE;..;..;4;0,00
64882;ABDALAS;8;0,00;..;..
46970;ABDALES;10;0,00;..;..
64882;ABDALESS;5;0,00;..;..
23868;ABDALLA;20;0,00;16;0,00
15210;ABDALLAH;42;0,00;28;0,00
25303;ABDALLAOUI;29;0,00;4;0,00
27578;ABDAOUI;26;0,00;..;..
64882;ABDARAHOUL;..;..;6;0,00
39378;ABDAT;12;0,00;5;0,00
70986;ABDECHAFI;7;0,00;..;..
46970;ABDEDAIM;10;0,00;..;..
103641;ABDEDAIME;4;0,00;..;..
64882;ABDEDDAIM;6;0,00;..;..
103641;ABDEEN;4;0,00;..;..
78738;ABDEIKADER;4;0,00;..;..
52458;ABDEL;11;0,00;..;..
64882;ABDEL KARIM;6;0,00;..;..
26969;ABDEL LAH;15;0,00;15;0,00
103641;ABDEL LATIF;..;..;4;0,00
64882;ABDEL WAHAB;7;0,00;..;..
40935;ABDELA;8;0,00;8;0,00
59859;ABDELAAL;4;0,00;5;0,00
44694;ABDELAALI;13;0,00;..;..
20238;ABDELALI;29;0,00;17;0,00
89030;ABDELALL;4;0,00;..;..
78738;ABDELAOUI;5;0,00;..;..
103641;ABDELATIF;4;0,00;..;..
89030;ABDELAZIM;5;0,00;..;..
21837;ABDELAZIZ;27;0,00;14;0,00
64882;ABDELBAKI;5;0,00;..;..
89030;ABDELBAY;5;0,00;..;..
89030;ABDELFATAH;5;0,00;..;..
42740;ABDELFATTAH;10;0,00;5;0,00
64882;ABDELFETTAH;6;0,00;..;..
103641;ABDELGHAFAR;4;0,00;..;..
27578;ABDELGHANI;23;0,00;6;0,00
89030;ABDELGUERFI;4;0,00;..;..
70986;ABDELHAC;..;..;4;0,00
27578;ABDELHADI;19;0,00;10;0,00
103641;ABDELHAFEZ;4;0,00;..;..
78738;ABDELHAFID;5;0,00;..;..
27578;ABDELHAK;23;0,00;6;0,00
78738;ABDELHAKIM;6;0,00;..;..
37857;ABDELHAMID;13;0,00;5;0,00
64882;ABDELHAY;4;0,00;4;0,00
70986;ABDELILAH;7;0,00;..;..
103641;ABDELJABBAR;4;0,00;..;..
8198;ABDELKADER;69;0,00;95;0,01
103641;ABDELKADERZARRU;..;..;4;0,00
89030;ABDELKAMEL;4;0,00;..;..
40935;ABDELKAOUI;9;0,00;7;0,00
55921;ABDELKARIM;7;0,00;..;..
103641;ABDELKARIMI;4;0,00;..;..
49517;ABDELKHALEK;11;0,00;..;..
64882;ABDELKHALEKI;5;0,00;..;..
70986;ABDELKHALKI;5;0,00;..;..
35255;ABDELKRIM;12;0,00;8;0,00
11446;ABDELLAH;43;0,00;62;0,00
78738;ABDELLAN;6;0,00;..;..
4481;ABDELLAOUI;245;0,03;111;0,01
78738;ABDELLATEN;..;..;5;0,00
19657;ABDELLATI;34;0,00;14;0,00
39378;ABDELLATIF;14;0,00;..;..
39378;ABDELLI;17;0,00;..;..
78738;ABDELLOUAHED;..;..;4;0,00
70986;ABDELLOUCH;7;0,00;..;..
78738;ABDELMAJID;5;0,00;..;..
52458;ABDELMALAK;8;0,00;..;..
30501;ABDELMALEK;16;0,00;9;0,00
28254;ABDELMALKI;14;0,00;14;0,00
42740;ABDELMANJE;10;0,00;5;0,00
89030;ABDELMELKI;5;0,00;..;..
49517;ABDELMOUJOUD;7;0,00;5;0,00
39378;ABDELMOULA;10;0,00;7;0,00
37857;ABDELMOUMEN;17;0,00;..;..
44694;ABDELMOUMNI;14;0,00;..;..
103641;ABDELMOUMNY;4;0,00;..;..
59859;ABDELNOUR;7;0,00;..;..
89030;ABDELNUR;5;0,00;..;..
52458;ABDELOUAHAB;8;0,00;..;..
55921;ABDELOUAHAD;5;0,00;5;0,00
64882;ABDELOUAHED;8;0,00;..;..
44694;ABDELRAHMAN;12;0,00;..;..
70986;ABDELRHMAN;7;0,00;..;..
52458;ABDELSALAM;10;0,00;..;..
78738;ABDELSAYED;..;..;5;0,00
70986;ABDELWAHAB;..;..;4;0,00
59859;ABDENNOUR;9;0,00;..;..
103641;ABDEREZZAQ;4;0,00;..;..
21837;ABDERRAHAMAN;19;0,00;22;0,00
21155;ABDERRAHIM;34;0,00;9;0,00
21837;ABDERRAHMAN;20;0,00;21;0,00
28965;ABDERRAHMANE;12;0,00;15;0,00
103641;ABDERRAHOUL;4;0,00;..;..
78738;ABDERRAZEK;..;..;4;0,00
89030;ABDERREZAK;..;..;5;0,00
103641;ABDESALAM;..;..;4;0,00
13006;ABDESELAM;41;0,00;47;0,00
11211;ABDESLAM;13;0,00;95;0,01
35255;ABDESLAMI;19;0,00;..;..
49517;ABDESMAD;7;0,00;5;0,00
70986;ABDESMED;6;0,00;..;..
103641;ABDESMID;4;0,00;..;..
39378;ABDESSADAK;10;0,00;7;0,00
59859;ABDESSADKI;9;0,00;..;..
24817;ABDESSAMAD;21;0,00;13;0,00
70986;ABDESSAMIA;4;0,00;..;..
12586;ABDESSAMIE;71;0,00;21;0,00
70986;ABDESSELAM;5;0,00;..;..
13006;ABDI;70;0,00;18;0,00
59859;ABDIN;9;0,00;..;..
78738;ABDJAMMAH;..;..;4;0,00
78738;ABDLI;6;0,00;..;..
25303;ABDO;23;0,00;10;0,00
70986;ABDOLLAHI;7;0,00;..;..
20238;ABDON;28;0,00;18;0,00
15693;ABDOU;56;0,00;11;0,00
64882;ABDOUH;8;0,00;..;..
89030;ABDOUL;5;0,00;..;..
39378;ABDOULAYE;10;0,00;7;0,00
103641;ABDOULIE;4;0,00;..;..
13209;ABDOUN;60;0,00;26;0,00
78738;ABDOUNE;4;0,00;..;..
42740;ABDOUNI;10;0,00;5;0,00
89030;ABDOURABIH;5;0,00;..;..
64882;ABDOURABIHI;6;0,00;..;..
40935;ABDOUS;14;0,00;..;..
46970;ABDOUSS;10;0,00;..;..
46970;ABDOUSSI;10;0,00;..;..
89030;ABDU;5;0,00;..;..
5397;ABDUL;253;0,03;33;0,00
89030;ABDUL HADI;4;0,00;..;..
103641;ABDUL QUADRI;4;0,00;..;..
78738;ABDUL RAHMAN;5;0,00;..;..
103641;ABDUL RAUF;4;0,00;..;..
103641;ABDUL REHMAN;4;0,00;..;..
70986;ABDULA;7;0,00;..;..
64882;ABDULAH;4;0,00;4;0,00
24320;ABDULAI;29;0,00;6;0,00
103641;ABDULDAYEM;4;0,00;..;..
64882;ABDULGHANI;..;..;5;0,00
70986;ABDULHADI;4;0,00;..;..
89030;ABDULJAWAD;5;0,00;..;..
52458;ABDULKADER;11;0,00;..;..
78738;ABDULKAREEM;6;0,00;..;..
70986;ABDULKARIM;5;0,00;..;..
78738;ABDULLA;4;0,00;..;..
52458;ABDULLAEVA;8;0,00;..;..
7386;ABDULLAH;177;0,02;12;0,00
78738;ABDULLAHI;..;..;5;0,00
103641;ABDULMAJID;4;0,00;..;..
34146;ABDULRAHMAN;15;0,00;6;0,00
78738;ABDURRAHMAN;4;0,00;..;..
89030;ABDUSHELISHVILI;5;0,00;..;..
12901;ABE;49;0,00;40;0,00
40935;ABECASIS;10;0,00;6;0,00
59859;ABECIA;6;0,00;..;..
20834;ABED;36;0,00;8;0,00
89030;ABED BAHTSOU;4;0,00;..;..
32147;ABEDDAR;16;0,00;7;0,00
36467;ABEDIN;18;0,00;..;..
103641;ABEDU;4;0,00;..;..
70986;ABEDZADA;7;0,00;..;..
31309;ABEGON;6;0,00;18;0,00
59859;ABEGUE;..;..;8;0,00
89030;ABEHES;4;0,00;..;..
16757;ABEIJON;29;0,00;32;0,00
78738;ABEIS;..;..;4;0,00
44694;ABEJA;4;0,00;10;0,00
16940;ABEJARO;26;0,00;34;0,00
70986;ABEJERO;5;0,00;..;..
52458;ABEJEZ;8;0,00;..;..
14393;ABEJON;34;0,00;42;0,00
4952;ABEL;171;0,02;145;0,02
19958;ABELA;27;0,00;20;0,00
9458;ABELAIRA;77;0,00;59;0,00
21837;ABELAIRAS;28;0,00;13;0,00
39378;ABELANET;11;0,00;6;0,00
59859;ABELARDO;5;0,00;4;0,00
46970;ABELE;13;0,00;..;..
11446;ABELEDO;62;0,00;43;0,00
24320;ABELEIRA;16;0,00;19;0,00
9155;ABELENDA;77;0,00;65;0,00
70986;ABELENDO;7;0,00;..;..
89030;ABELHAD;..;..;4;0,00
55921;ABELIDA;9;0,00;..;..
70986;ABELINO;..;..;6;0,00
672;ABELLA;1.442;0,18;1.429;0,18
695;ABELLAN;1.397;0,18;1.387;0,18
70986;ABELLAN GARCIA;..;..;4;0,00
10135;ABELLANA;63;0,00;61;0,00
55921;ABELLANAS;6;0,00;4;0,00
70986;ABELLANED;..;..;5;0,00
9664;ABELLANEDA;56;0,00;76;0,00
70986;ABELLANER;4;0,00;..;..
32147;ABELLANET;15;0,00;8;0,00
64882;ABELLANGARCIA;..;..;5;0,00
9768;ABELLEIRA;70;0,00;60;0,00
33101;ABELLERA;11;0,00;11;0,00
13667;ABELLI;37;0,00;45;0,00
1044;ABELLO;915;0,12;903;0,11
16940;ABELLON;16;0,00;44;0,00
103641;ABELLOT;..;..;4;0,00
89030;ABELOUAD;5;0,00;..;..
70986;ABELYAN;7;0,00;..;..
59859;ABEME;..;..;8;0,00
49517;ABENALI;11;0,00;..;..
78738;ABENANTE;5;0,00;..;..
42740;ABENDAÑO;7;0,00;8;0,00
70986;ABENG;..;..;5;0,00
49517;ABENGOECHEA;8;0,00;4;0,00
46970;ABENGOZA;9;0,00;4;0,00
32147;ABENGOZAR;11;0,00;12;0,00
16546;ABENIA;37;0,00;25;0,00
59859;ABENOJA;7;0,00;..;..
11943;ABENOJAR;71;0,00;28;0,00
8324;ABENOZA;75;0,00;86;0,01
78738;ABENSUR;..;..;6;0,00
46970;ABENTIN;10;0,00;..;..
4952;ABENZA;149;0,02;167;0,02
39378;ABERASTURI;9;0,00;8;0,00
103641;ABERDANE;4;0,00;..;..
10462;ABERKAN;81;0,01;38;0,00
15873;ABERKANE;45;0,00;21;0,00
46970;ABERKOUS;13;0,00;..;..
103641;ABERNETHY;4;0,00;..;..
78738;ABERO;5;0,00;..;..
22978;ABERRADA;21;0,00;17;0,00
37857;ABERRICH;9;0,00;9;0,00
16757;ABERT;28;0,00;33;0,00
